OBJECTID,x,y
0,114.26942623315855,30.63226138309839
1,114.27865432656893,30.6286287161043
2,114.28789448746554,30.62494023540019
3,114.29715277615125,30.621175233005072
4,114.30643069884272,30.61733030397934
5,114.31572496555344,30.613420235421266
6,114.32502836212625,30.609474699161108
7,114.33433153100722,30.60553150825684
8,114.34362524689199,30.60162799282649
9,114.35290266021845,30.597792486470645
10,114.3621609891741,30.594037889324714
11,114.37140226753486,30.59035879335141
12,114.38063297241659,30.58673283121706
13,114.38986261357938,30.583125933081607
14,114.39910160545467,30.579500272196338
15,114.40835890952748,30.575823059372546
16,114.41763998946705,30.572074151523626
17,114.4269455512678,30.568250715246975
18,114.43627136116008,30.564367868563846
19,114.44560918607687,30.560455154370043
20,114.26419058978227,30.625281027986087
21,114.27343769819608,30.621474358136727
22,114.28269185676669,30.61762935838196
23,114.29196114914146,30.61371728364662
24,114.30124969427061,30.609724510684966
25,114.31055677800482,30.605655792539483
26,114.31987711630347,30.601533259372268
27,114.32920218487422,30.597391392835924
28,114.33852230393886,30.59326913678466
29,114.34782899299422,30.589200973036345
30,114.35711704852268,30.585209031879934
31,114.36638586153947,30.58129806678315
32,114.3756396669607,30.57745445715887
33,114.384886663037,30.57364946708039
34,114.39413720018716,30.56984599934493
35,114.40340145445602,30.566007273109705
36,114.41268712150988,30.562105407811547
37,114.42199766420748,30.558127919370353
38,114.4313315203655,30.55408062090202
39,114.44068245604548,30.549986255964868
40,114.25895597322919,30.618300803487735
41,114.26822531832637,30.614308120177473
42,114.2774958421729,30.61029742536859
43,114.28677709160701,30.606234019536817
44,114.29607555628806,30.602094977938474
45,114.3053932247838,30.59787457549871
46,114.31472720533232,30.593585718054758
47,114.32407049555233,30.589257041367382
48,114.33341371850241,30.584926349794667
49,114.34274741861493,30.58063192091462
50,114.35206438158323,30.576403700876362
51,114.36136143678193,30.572256441096346
52,114.37064032035208,30.568186373910333
53,114.37990739423917,30.564172198854195
54,114.38917228141486,30.56018014549262
55,114.3984457292604,30.556171928134315
56,114.40773719334987,30.552113734199807
57,114.4170527005166,30.54798414834937
58,114.426393487061,30.543779164217273
59,114.43575572925646,30.539513116010493
60,114.25371999080413,30.611327568598718
61,114.2630146714876,30.607136423230408
62,114.27230421831752,30.602948898779974
63,114.2815989681222,30.598726896704232
64,114.29090736574085,30.594439813215573
65,114.30023403911693,30.590071772427475
66,114.30957879031271,30.58562543158839
67,114.31893673459012,30.58112146273595
68,114.32829955118943,30.576593827269384
69,114.33765755020531,30.572081945656898
70,114.34700207003895,30.567621592454625
71,114.3563276429908,30.563236645943878
72,114.36563342018016,30.558933621561614
73,114.37492351869561,30.554700265815995
74,114.38420620415293,30.550508535771918
75,114.39349209294747,30.54632126184159
76,114.4027917876175,30.542100929454595
77,114.41211349241576,30.537818520119064
78,114.42146116279929,30.533460340057886
79,114.43083361989405,30.529031237425045
80,114.24848017621045,30.604367558174022
81,114.25780294769426,30.599966007933595
82,114.26711429613302,30.595589398350356
83,114.27642461262408,30.59119907387378
84,114.28574373733923,30.586758967306363
85,114.29507868555581,30.582244135569027
86,114.30443206785478,30.577646704245087
87,114.3138015719004,30.572977818875206
88,114.32318062301177,30.568265139095512
89,114.33256006399537,30.563546459903808
90,114.34193045602302,30.558860955801816
91,114.35128445707679,30.554240103369597
92,114.36061871610495,30.549700413787246
93,114.3699348336355,30.545239680862014
94,114.37923915710593,30.54083762266784
95,114.38854145127576,30.536460761072423
96,114.3978527476554,30.532070386829812
97,114.40718287039486,30.52763173311865
98,114.4165382139557,30.52312219771092
99,114.42592029130874,30.51853667943309
100,114.24323421152309,30.59742592063169
101,114.25258730324909,30.59280344070319
102,114.26192318889092,30.588225297724485
103,114.2712515699852,30.58365519728103
104,114.28058301629544,30.579054258911075
105,114.28992650294718,30.574390240363588
106,114.29928736159246,30.569645222300032
107,114.3086661252687,30.564819935247233
108,114.31805853404538,30.559933701968795
109,114.32745669410025,30.555020003289094
110,114.33685111110412,30.550118709296502
111,114.3462331132596,30.54526680614884
112,114.3555970877762,30.540489804627448
113,114.36494199806286,30.53579585565373
114,114.37427181726413,30.531173958204686
115,114.3835947678547,30.526596677946028
116,114.39292153773322,30.522026729389744
117,114.40226288503236,30.51742586248569
118,114.41162718979412,30.512763951656723
119,114.42101852596055,30.508026139296735
