count,wgs_lng,wgs_lat,time
1.0,109.15149067998517,23.76915993225489,2018-11-19-10-25-19
1.0,109.18779334152204,23.765725961739218,2018-11-19-10-25-19
1.0,109.18979595989352,23.765979471577573,2018-11-19-10-25-19
1.0,109.18303681395543,23.76621769904439,2018-11-19-10-25-19
1.0,109.18153468524405,23.7664650564057,2018-11-19-10-25-19
1.0,109.18378784668596,23.76646911626085,2018-11-19-10-25-19
2.0,109.18403819406124,23.766469563622664,2018-11-19-10-25-19
1.0,109.18153467102078,23.76671512697946,2018-11-19-10-25-19
1.0,109.18178501103756,23.766965651556443,2018-11-19-10-25-19
1.0,109.18203536456497,23.766966104814724,2018-11-19-10-25-19
1.0,109.18028286111787,23.767212988716313,2018-11-19-10-25-19
1.0,109.18954556352855,23.767229398043472,2018-11-19-10-25-19
1.0,109.18353744162414,23.767468950772642,2018-11-19-10-25-19
1.0,109.1837877898141,23.767469398911356,2018-11-19-10-25-19
1.0,109.18954553511891,23.767729539603987,2018-11-19-10-25-19
1.0,109.18979586046606,23.767729965994867,2018-11-19-10-25-19
1.0,109.17953174181041,23.767961825922807,2018-11-19-10-25-19
1.0,109.18378776137736,23.76796954059423,2018-11-19-10-25-19
1.0,109.1795317133522,23.768461967846086,2018-11-19-10-25-19
1.0,109.1877931425988,23.769226952665193,2018-11-19-10-25-19
1.0,109.1792812963395,23.7694617928191,2018-11-19-10-25-19
1.0,109.18954543568084,23.769480036939076,2018-11-19-10-25-19
1.0,109.17802945885752,23.769959629232808,2018-11-19-10-25-19
1.0,109.17878054594003,23.769961014588738,2018-11-19-10-25-19
1.0,109.18679175911144,23.76997542349633,2018-11-19-10-25-19
1.0,109.18854409508705,23.76997846378645,2018-11-19-10-25-19
2.0,109.18178482612913,23.770216575204607,2018-11-19-10-25-19
1.0,109.18754275202346,23.770226803577202,2018-11-19-10-25-19
1.0,109.18779308575868,23.770227237926335,2018-11-19-10-25-19
1.0,109.17853012719168,23.770960839314043,2018-11-19-10-25-19
1.0,109.1887943678923,23.77097918021332,2018-11-19-10-25-19
1.0,109.1895453362361,23.771230537177566,2018-11-19-10-25-19
1.0,109.18904466806265,23.77147975300867,2018-11-19-10-25-19
1.0,109.18253579920768,23.771718362548437,2018-11-19-10-25-19
1.0,109.18854399562454,23.771728964853892,2018-11-19-10-25-19
1.0,109.18929498137693,23.771730253211445,2018-11-19-10-25-19
1.0,109.18704198209397,23.771976433536782,2018-11-19-10-25-19
1.0,109.17602635280623,23.773206846305623,2018-11-19-10-25-19
1.0,109.17727816775859,23.77345924435728,2018-11-19-10-25-19
1.0,109.16175513312135,23.773680116072164,2018-11-19-10-25-19
1.0,109.17352263611005,23.7737023094042,2018-11-19-10-25-19
1.0,109.16050326192259,23.774177914181344,2018-11-19-10-25-19
1.0,109.16701287316275,23.774940393121824,2018-11-19-10-25-19
1.0,109.16726324672464,23.77494086644006,2018-11-19-10-25-19
1.0,109.17652697191096,23.775208357003997,2018-11-19-10-25-19
1.0,109.17652695767035,23.77545842964444,2018-11-19-10-25-19
1.0,109.1767773092869,23.775708967530196,2018-11-19-10-25-19
1.0,109.16350759808948,23.77593406555529,2018-11-19-10-25-19
1.0,109.16375796966305,23.775934537405885,2018-11-19-10-25-19
1.0,109.16225572984874,23.776181782331022,2018-11-19-10-25-19
1.0,109.17001727020408,23.776446507419646,2018-11-19-10-25-19
1.0,109.17477432795128,23.776455452888012,2018-11-19-10-25-19
1.0,109.16050304768491,23.77792900647122,2018-11-19-10-25-19
1.0,109.18028219231248,23.77896637785392,2018-11-19-10-25-19
1.0,109.17777842626299,23.7817125857931,2018-11-19-10-25-19
2.0,109.18929425660627,23.78448399003172,2018-11-19-10-25-19
1.0,109.20606422369076,23.76625454855477,2018-11-19-10-25-19
1.0,109.20681490626856,23.766255551158505,2018-11-19-10-25-19
1.0,109.21407063038498,23.766264422578406,2018-11-19-10-25-19
1.0,109.21882345903803,23.766269370689002,2018-11-19-10-25-19
1.0,109.2230753238592,23.766273173906818,2018-11-19-10-25-19
1.0,109.20181004603856,23.76649865994699,2018-11-19-10-25-19
1.0,109.20206030437687,23.76649902310743,2018-11-19-10-25-19
1.0,109.20606420951805,23.76650461906198,2018-11-19-10-25-19
1.0,109.20631443883842,23.766504954948143,2018-11-19-10-25-19
1.0,109.21332010069275,23.766513647222464,2018-11-19-10-25-19
1.0,109.21357027457243,23.766513931085463,2018-11-19-10-25-19
1.0,109.21807304943923,23.76651870788138,2018-11-19-10-25-19
1.0,109.22207492927825,23.766522404191477,2018-11-19-10-25-19
1.0,109.20681487792523,23.766755692232262,2018-11-19-10-25-19
1.0,109.20706510184569,23.76675602304669,2018-11-19-10-25-19
1.0,109.21056804184363,23.76676047149997,2018-11-19-10-25-19
1.0,109.21306991062322,23.76676343202468,2018-11-19-10-25-19
1.0,109.2018100176789,23.766998801142886,2018-11-19-10-25-19
2.0,109.20581395006911,23.767004422695777,2018-11-19-10-25-19
1.0,109.21357024624609,23.767014072275067,2018-11-19-10-25-19
1.0,109.21457092135223,23.76701518858652,2018-11-19-10-25-19
2.0,109.21807302112128,23.767018849068645,2018-11-19-10-25-19
1.0,109.19805593959592,23.76724324672585,2018-11-19-10-25-19
1.0,109.19980787928948,23.767245912452193,2018-11-19-10-25-19
1.0,109.21382040392932,23.767264424915208,2018-11-19-10-25-19
1.0,109.2158217045793,23.767266611074614,2018-11-19-10-25-19
1.0,109.1978056423567,23.767492931047947,2018-11-19-10-25-19
1.0,109.2008089256729,23.767747545593586,2018-11-19-10-25-19
1.0,109.21482104250073,23.767765675075236,2018-11-19-10-25-19
1.0,109.21832311262949,23.767769307768333,2018-11-19-10-25-19
2.0,109.19980783673785,23.767996124873747,2018-11-19-10-25-19
5.0,109.2110683605354,23.768011432117444,2018-11-19-10-25-19
8.0,109.1998078225537,23.76824619579998,2018-11-19-10-25-19
34.0,109.2000580935776,23.768246570894718,2018-11-19-10-25-19
1.0,109.20030836305143,23.768246944530226,2018-11-19-10-25-19
1.0,109.21056795684112,23.768260896146693,2018-11-19-10-25-19
1.0,109.21156872807651,23.768262102599344,2018-11-19-10-25-19
1.0,109.21907347322701,23.768270176745542,2018-11-19-10-25-19
1.0,109.19780558560534,23.768493214635996,2018-11-19-10-25-19
4.0,109.19980780836941,23.768496266785665,2018-11-19-10-25-19
3.0,109.20005807939377,23.768496641880336,2018-11-19-10-25-19
1.0,109.21507116157808,23.768516160157635,2018-11-19-10-25-19
1.0,109.21932358433739,23.768520486030578,2018-11-19-10-25-19
2.0,109.21056792850587,23.76876103817168,2018-11-19-10-25-19
1.0,109.21306979730912,23.768763998691103,2018-11-19-10-25-19
1.0,109.22332524339092,23.769274228591183,2018-11-19-10-25-19
1.0,109.20906667115271,23.769509387574406,2018-11-19-10-25-19
1.0,109.21181883097958,23.769762826394338,2018-11-19-10-25-19
1.0,109.22482570323815,23.76977555416789,2018-11-19-10-25-19
1.0,109.20906664281219,23.770009530193327,2018-11-19-10-25-19
1.0,109.21206900273697,23.770013192885795,2018-11-19-10-25-19
1.0,109.21231918667405,23.770013486175262,2018-11-19-10-25-19
1.0,109.21106821886127,23.770512144020067,2018-11-19-10-25-19
1.0,109.21382021979653,23.770515349220865,2018-11-19-10-25-19
1.0,109.22107425781103,23.77102280930842,2018-11-19-10-25-19
1.0,109.20856613763712,23.771509323850765,2018-11-19-10-25-19
1.0,109.20306102357192,23.77175195473114,2018-11-19-10-25-19
1.0,109.20756526078205,23.771758103359442,2018-11-19-10-25-19
1.0,109.208315910579,23.771759075156265,2018-11-19-10-25-19
1.0,109.20881633448037,23.771759714294333,2018-11-19-10-25-19
1.0,109.20956695621457,23.771760659751607,2018-11-19-10-25-19
2.0,109.20005788080587,23.771997641899148,2018-11-19-10-25-19
2.0,109.20781546505557,23.772008500837874,2018-11-19-10-25-19
1.0,109.19905677329683,23.772246204736312,2018-11-19-10-25-19
1.0,109.20706479004123,23.77225759054563,2018-11-19-10-25-19
1.0,109.2080656674849,23.772258896643198,2018-11-19-10-25-19
1.0,109.20856609512083,23.77225953928503,2018-11-19-10-25-19
1.0,109.20881630613674,23.772259857975918,2018-11-19-10-25-19
2.0,109.20906651527311,23.77226017490279,2018-11-19-10-25-19
1.0,109.20931672252134,23.77226049005771,2018-11-19-10-25-19
1.0,109.21331977490073,23.77226528524991,2018-11-19-10-25-19
5.0,109.21457062391471,23.772266685417357,2018-11-19-10-25-19
1.0,109.22082407724191,23.77227294427036,2018-11-19-10-25-19
1.0,109.2023102207538,23.772501094760486,2018-11-19-10-25-19
1.0,109.20256047583227,23.772501454843567,2018-11-19-10-25-19
1.0,109.20581363822058,23.772505991505227,2018-11-19-10-25-19
4.0,109.20881629196471,23.77250992990494,2018-11-19-10-25-19
2.0,109.20906650110142,23.772510246831743,2018-11-19-10-25-19
2.0,109.20931670834999,23.7725105619866,2018-11-19-10-25-19
1.0,109.20180969150361,23.772750441965876,2018-11-19-10-25-19
2.0,109.20256046165052,23.772751526833037,2018-11-19-10-25-19
1.0,109.20306096684912,23.772752242335724,2018-11-19-10-25-19
1.0,109.20431220046595,23.772754003472244,2018-11-19-10-25-19
1.0,109.20456244207624,23.772754350893845,2018-11-19-10-25-19
1.0,109.20581362404408,23.772756063493816,2018-11-19-10-25-19
1.0,109.20631408448571,23.772756736936543,2018-11-19-10-25-19
1.0,109.20731498380322,23.772758063568993,2018-11-19-10-25-19
1.0,109.20856606677596,23.77275968320197,2018-11-19-10-25-19
1.0,109.20881627779255,23.77276000189272,2018-11-19-10-25-19
2.0,109.2093166941785,23.77276063397425,2018-11-19-10-25-19
3.0,109.20956689953076,23.772760947349195,2018-11-19-10-25-19
1.0,109.20456242789766,23.773004422941487,2018-11-19-10-25-19
1.0,109.20481266778191,23.773004768740677,2018-11-19-10-25-19
2.0,109.20631407030983,23.773006808983716,2018-11-19-10-25-19
2.0,109.20656429784887,23.77300714318594,2018-11-19-10-25-19
1.0,109.20731496962881,23.773008135615896,2018-11-19-10-25-19
3.0,109.20781540836164,23.77300878867246,2018-11-19-10-25-19
1.0,109.2080656249653,23.773009112607106,2018-11-19-10-25-19
1.0,109.20831583971542,23.77300943480182,2018-11-19-10-25-19
